# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00 -5.4960270378351E-11  7.3648896218913E-01  0.0000000000000E+00  3.3960754006700E-01  1.0400794443238E-10
 1.9154725488735E+00  5.7353594105773E-03  8.4492436455069E-02  0.0000000000000E+00  1.8606237174670E-01 -5.7859186232630E-03
 1.9272104985550E+00  5.6785537373366E-03  8.2903697909180E-02  0.0000000000000E+00  1.8421031535821E-01 -5.7278413936822E-03
 1.9389476625131E+00  5.6217181034651E-03  8.1338749325310E-02  0.0000000000000E+00  1.8235944650076E-01 -5.6697571687346E-03
 1.9506840487672E+00  5.5648648178323E-03  7.9797364828460E-02  0.0000000000000E+00  1.8051007693286E-01 -5.6116781335039E-03
 1.9624196653345E+00  5.5080060521095E-03  7.8279318097645E-02  0.0000000000000E+00  1.7866251608369E-01 -5.5536163263459E-03
 1.9741545202280E+00  5.4511538388746E-03  7.6784382424595E-02  0.0000000000000E+00  1.7681707093122E-01 -5.4955836378304E-03
 1.9858886214556E+00  5.3943200701516E-03  7.5312330772533E-02  0.0000000000000E+00  1.7497404588309E-01 -5.4375918091843E-03
 1.9976219770176E+00  5.3375164956557E-03  7.3862935833291E-02  0.0000000000000E+00  1.7313374265975E-01 -5.3796524311003E-03
 2.0093545949060E+00  5.2807547209404E-03  7.2435970084279E-02  0.0000000000000E+00  1.7129646018017E-01 -5.3217769424723E-03
 2.0210864831023E+00  5.2240462059355E-03  7.1031205844918E-02  0.0000000000000E+00  1.6946249445072E-01 -5.2639766284734E-03
 2.0328176495761E+00  5.1674022627499E-03  6.9648415331384E-02  0.0000000000000E+00  1.6763213845602E-01 -5.2062626197670E-03
 2.0445481022841E+00  5.1108340544216E-03  6.8287370711839E-02  0.0000000000000E+00  1.6580568205303E-01 -5.1486458904910E-03
 2.0562778491679E+00  5.0543525926337E-03  6.6947844159803E-02  0.0000000000000E+00  1.6398341186778E-01 -5.0911372571235E-03
 2.0680068981529E+00  4.9979687361927E-03  6.5629607907381E-02  0.0000000000000E+00  1.6216561119490E-01 -5.0337473770355E-03
 2.0797352571469E+00  4.9416931893866E-03  6.4332434297693E-02  0.0000000000000E+00  1.6035255990014E-01 -4.9764867466707E-03
 2.0914629340386E+00  4.8855364997138E-03  6.3056095835940E-02  0.0000000000000E+00  1.5854453432557E-01 -4.9193657006633E-03
 2.1031899366960E+00  4.8295090567900E-03  6.1800365240596E-02  0.0000000000000E+00  1.5674180719809E-01 -4.8623944097544E-03
 2.1149162729656E+00  4.7736210900941E-03  6.0565015492948E-02  0.0000000000000E+00  1.5494464754053E-01 -4.8055828799440E-03
 2.1266419506702E+00  4.7178826675078E-03  5.9349819886321E-02  0.0000000000000E+00  1.5315332058596E-01 -4.7489409507245E-03
 2.1383669776085E+00  4.6623036936369E-03  5.8154552074192E-02  0.0000000000000E+00  1.5136808769501E-01 -4.6924782936968E-03
 2.1500913615531E+00  4.6068939080903E-03  5.6978986117902E-02  0.0000000000000E+00  1.4958920627626E-01 -4.6362044115321E-03
 2.1618151102495E+00  4.5516628840144E-03  5.5822896533063E-02  0.0000000000000E+00  1.4781692970959E-01 -4.5801286362999E-03
 2.1735382314148E+00  4.4966200261580E-03  5.4686058335243E-02  0.0000000000000E+00  1.4605150727266E-01 -4.5242601283070E-03
 2.1852607327364E+00  4.4417745699690E-03  5.3568247085261E-02  0.0000000000000E+00  1.4429318407069E-01 -4.4686078749801E-03
 2.1969826218711E+00  4.3871355796865E-03  5.2469238932917E-02  0.0000000000000E+00  1.4254220096903E-01 -4.4131806895349E-03
 2.2087039064435E+00  4.3327119469137E-03  5.1388810660532E-02  0.0000000000000E+00  1.4079879452904E-01 -4.3579872098452E-03
 2.2204245940449E+00  4.2785123895434E-03  5.0326739725205E-02  0.0000000000000E+00  1.3906319694718E-01 -4.3030358972953E-03
