# ind =     1, ny =  2000, ndof =     5, ymax =  2.3387059397936E+01
 0.0000000000000E+00  9.8231827111984E-01  0.0000000000000E+00  0.0000000000000E+00  0.0000000000000E+00  1.0180000000000E+00
 1.8567707339836E+00  9.9527625698655E-01  8.5485856987339E-01  0.0000000000000E+00 -7.4438711953009E-02  1.0047461626662E+00
 1.8685127325372E+00  9.9534659476979E-01  8.5723605755190E-01  0.0000000000000E+00 -7.3588005580870E-02  1.0046751606472E+00
 1.8802539052944E+00  9.9541626406114E-01  8.5958388792353E-01  0.0000000000000E+00 -7.2738644972682E-02  1.0046048433247E+00
 1.8919942602608E+00  9.9548526397942E-01  8.6190227059290E-01  0.0000000000000E+00 -7.1890837244536E-02  1.0045352113024E+00
 1.9037338054484E+00  9.9555359379386E-01  8.6419141587311E-01  0.0000000000000E+00 -7.1044784957705E-02  1.0044662650347E+00
 1.9154725488735E+00  9.9562125292253E-01  8.6645153476539E-01  0.0000000000000E+00 -7.0200686129425E-02  1.0043980048283E+00
 1.9272104985550E+00  9.9568824093074E-01  8.6868283893828E-01  0.0000000000000E+00 -6.9358734245249E-02  1.0043304308437E+00
 1.9389476625131E+00  9.9575455752938E-01  8.7088554070624E-01  0.0000000000000E+00 -6.8519118272958E-02  1.0042635430976E+00
 1.9506840487672E+00  9.9582020257335E-01  8.7305985300778E-01  0.0000000000000E+00 -6.7682022677993E-02  1.0041973414637E+00
 1.9624196653345E+00  9.9588517605984E-01  8.7520598938301E-01  0.0000000000000E+00 -6.6847627440389E-02  1.0041318256754E+00
 1.9741545202280E+00  9.9594947812672E-01  8.7732416395078E-01  0.0000000000000E+00 -6.6016108073189E-02  1.0040669953268E+00
 1.9858886214556E+00  9.9601310905081E-01  8.7941459138530E-01  0.0000000000000E+00 -6.5187635642294E-02  1.0040028498751E+00
 1.9976219770176E+00  9.9607606924623E-01  8.8147748689228E-01  0.0000000000000E+00 -6.4362376787743E-02  1.0039393886420E+00
 2.0093545949060E+00  9.9613835926261E-01  8.8351306618467E-01  0.0000000000000E+00 -6.3540493746378E-02  1.0038766108156E+00
 2.0210864831023E+00  9.9619997978341E-01  8.8552154545793E-01  0.0000000000000E+00 -6.2722144375878E-02  1.0038145154524E+00
 2.0328176495761E+00  9.9626093162413E-01  8.8750314136486E-01  0.0000000000000E+00 -6.1907482180120E-02  1.0037531014789E+00
 2.0445481022841E+00  9.9632121573055E-01  8.8945807099008E-01  0.0000000000000E+00 -6.1096656335853E-02  1.0036923676936E+00
 2.0562778491679E+00  9.9638083317693E-01  8.9138655182408E-01  0.0000000000000E+00 -6.0289811720640E-02  1.0036323127689E+00
 2.0680068981529E+00  9.9643978516416E-01  8.9328880173693E-01  0.0000000000000E+00 -5.9487088942052E-02  1.0035729352529E+00
 2.0797352571469E+00  9.9649807301801E-01  8.9516503895159E-01  0.0000000000000E+00 -5.8688624368072E-02  1.0035142335714E+00
 2.0914629340386E+00  9.9655569818718E-01  8.9701548201692E-01  0.0000000000000E+00 -5.7894550158683E-02  1.0034562060295E+00
 2.1031899366960E+00  9.9661266224151E-01  8.9884034978034E-01  0.0000000000000E+00 -5.7104994298612E-02  1.0033988508142E+00
 2.1149162729656E+00  9.9666896687002E-01  9.0063986136023E-01  0.0000000000000E+00 -5.6320080631196E-02  1.0033421659956E+00
 2.1266419506702E+00  9.9672461387906E-01  9.0241423611798E-01  0.0000000000000E+00 -5.5539928893333E-02  1.0032861495295E+00
 2.1383669776085E+00  9.9677960519035E-01  9.0416369362981E-01  0.0000000000000E+00 -5.4764654751496E-02  1.0032307992588E+00
